,Marcap,Pct,Cate
2024-01-03,46777130150204,-2.3702807111849578,기계
2024-01-04,46488093246677,-0.6179021727046652,기계
2024-01-05,46064127514995,-0.9119877845545021,기계
2024-01-08,46065598432004,0.003193194115147513,기계
2024-01-09,46097096226848,0.06837595931916685,기계
2024-01-10,46101155629360,0.008806200052213775,기계
2024-01-11,45574063016452,-1.1433392627848038,기계
2024-01-12,45784184901408,0.4610558529314135,기계
2024-01-15,45820401430865,0.0791027066114447,기계
2024-01-16,45307854049164,-1.1186008103275635,기계
2024-01-17,43765829261357,-3.4034381459199903,기계
2024-01-18,43781310484466,0.03537285450836425,기계
2024-01-19,44229878360973,1.0245647550138015,기계
2024-01-22,44163939334077,-0.14908254180093783,기계
2024-01-23,43948240458677,-0.48840497168595176,기계
2024-01-24,43620396687469,-0.7459770124727982,기계
2024-01-25,43417581888305,-0.46495404573489996,기계
2024-01-26,43895510554963,1.1007721892193567,기계
2024-01-29,43467177410859,-0.9758017134068209,기계
2024-01-30,42787688399037,-1.5632232233516286,기계
2024-01-31,43045038888626,0.6014592029112587,기계
2024-02-01,43263710028187,0.508005440828585,기계
2024-02-02,43981402588521,1.6588789076720678,기계
2024-02-05,43574254524523,-0.925727785007624,기계
2024-02-06,43174686427394,-0.9169820608270651,기계
2024-02-07,43443374356055,0.6223274582731309,기계
2024-02-08,43775128790950,0.763647943587431,기계
2024-01-02,419808407310,,기타
2024-01-03,419198247310,-0.1453424918070878,기타
2024-01-04,433222007310,3.3453765825574466,기타
2024-01-05,424729787310,-1.9602466764628734,기타
2024-01-08,423059307310,-0.3933041783058977,기타
2024-01-09,425093938965,0.48093296137061703,기타
2024-01-10,425712202275,0.14544157263340907,기타
2024-01-11,425798408895,0.02024997628429226,기타
2024-01-12,427426992205,0.382477547115867,기타
2024-01-15,426664915515,-0.1782940019928625,기타
2024-01-16,421683377240,-1.1675528251454903,기타
2024-01-17,422713637240,0.24432075239562145,기타
2024-01-18,422349505585,-0.08614144965313209,기타
2024-01-19,424150203860,0.42635264187318445,기타
2024-01-22,420513037240,-0.8575185363344784,기타
2024-01-23,419788785585,-0.17223048772840865,기타
2024-01-24,420056948895,0.0638805321171887,기타
2024-01-25,418930700550,-0.2681180130367333,기타
2024-01-26,419464892205,0.12751313147942867,기타
2024-01-29,421253475515,0.4263964263130582,기타
2024-01-30,425611040410,1.0344282357962031,기타
2024-01-31,425632937100,0.0051447655067704545,기타
2024-02-01,426963535375,0.3126163788136127,기타
2024-02-02,428310101995,0.3153821130924772,기타
2024-02-05,428670201995,0.08407459882984192,기타
2024-02-06,429252496960,0.13583751851424797,기타
2024-02-07,428548265305,-0.164060001977262,기타
2024-02-08,427924053650,-0.14565725859507772,기타
2024-01-02,849704507644,,기타금융
2024-01-03,842962027996,-0.7935087536130703,기타금융
2024-01-04,836153233118,-0.8077226081211197,기타금융
2024-01-05,855669388910,2.3340405823971455,기타금융
2024-01-08,850701268136,-0.5806121895196803,기타금융
2024-01-09,857058016860,0.7472363051636677,기타금융
2024-01-10,853316269018,-0.43658046111144655,기타금융
2024-01-11,858424561278,0.5986399703686196,기타금융
2024-01-12,848568528964,-1.1481535779133134,기타금융
2024-01-15,851463368802,0.34114390755619617,기타금융
2024-01-16,837126084396,-1.6838404247704108,기타금융
2024-01-17,820868292912,-1.9420959144679228,기타금융
2024-01-18,832597956442,1.4289336829407029,기타금융
2024-01-19,801606071904,-3.72231090626739,기타금융
2024-01-22,795842895598,-0.7189536741296298,기타금융
2024-01-23,786531067046,-1.1700586388979528,기타금융
2024-01-24,800753325578,1.8082259084075236,기타금융
2024-01-25,802199108460,0.18055284140798822,기타금융
2024-01-26,798960301572,-0.4037410231254923,기타금융
2024-01-29,782698830572,-2.0353290354983344,기타금융
2024-01-30,787839050120,0.6567301939423453,기타금융
2024-01-31,816462157744,3.6331161319866467,기타금융
2024-02-01,798538299262,-2.195307928480872,기타금융
2024-02-02,837274791446,4.850924773401588,기타금융
2024-02-05,861632958096,2.9092201149317543,기타금융
2024-02-06,860094577186,-0.17854248674510353,기타금융
2024-02-07,852185582040,-0.9195494723238551,기타금융
2024-02-08,838114188698,-1.6512123225923658,기타금융
2024-01-02,52700000000,,다각화된소비자서비스
2024-01-03,53000000000,0.5692599620493288,다각화된소비자서비스
2024-01-04,52900000000,-0.18867924528301883,다각화된소비자서비스
2024-01-05,52900000000,0.0,다각화된소비자서비스
2024-01-08,52400000000,-0.9451795841209809,다각화된소비자서비스
2024-01-09,52800000000,0.7633587786259444,다각화된소비자서비스
2024-01-10,52700000000,-0.18939393939394478,다각화된소비자서비스
2024-01-11,52700000000,0.0,다각화된소비자서비스
2024-01-12,52500000000,-0.3795066413662229,다각화된소비자서비스
2024-01-15,53000000000,0.952380952380949,다각화된소비자서비스
2024-01-16,52700000000,-0.5660377358490565,다각화된소비자서비스
2024-01-17,52100000000,-1.1385199240986688,다각화된소비자서비스
2024-01-18,53100000000,1.9193857965451144,다각화된소비자서비스
2024-01-19,53500000000,0.7532956685499137,다각화된소비자서비스
2024-01-22,52900000000,-1.121495327102806,다각화된소비자서비스
2024-01-23,52900000000,0.0,다각화된소비자서비스
2024-01-24,53000000000,0.1890359168241984,다각화된소비자서비스
2024-01-25,52700000000,-0.5660377358490565,다각화된소비자서비스
2024-01-26,52800000000,0.189753320683117,다각화된소비자서비스
2024-01-29,52600000000,-0.37878787878787845,다각화된소비자서비스
