,category,name,code
420,모바일솔루션(스마트폰),네이블,153460
421,모바일솔루션(스마트폰),텔코웨어,078000
422,모바일솔루션(스마트폰),지어소프트,051160
423,모바일솔루션(스마트폰),브레인즈컴퍼니,099390
424,모바일솔루션(스마트폰),유비벨록스,089850
425,모바일솔루션(스마트폰),유엔젤,072130
426,모바일솔루션(스마트폰),다산네트웍스,039560
427,모바일솔루션(스마트폰),핑거,163730
428,모바일솔루션(스마트폰),위세아이텍,065370
429,모바일솔루션(스마트폰),폴라리스오피스,041020
430,모바일솔루션(스마트폰),투비소프트,079970
431,LED장비,탑엔지니어링,065130
432,LED장비,주성엔지니어링,036930
433,LED장비,레이저쎌,412350
434,LED장비,이오테크닉스,039030
435,LED장비,네온테크,306620
436,LED장비,예스티,122640
437,LED장비,프로텍,053610
438,LED장비,미래컴퍼니,049950
439,LED장비,기가레인,049080
440,LED장비,티에스이,131290
441,LED장비,티씨케이,064760
442,K-뉴딜지수(2차전지),천보,278280
443,K-뉴딜지수(2차전지),에코프로비엠,247540
444,K-뉴딜지수(2차전지),포스코퓨처엠,003670
445,K-뉴딜지수(2차전지),엘앤에프,066970
446,K-뉴딜지수(2차전지),SKC,011790
447,K-뉴딜지수(2차전지),LG에너지솔루션,373220
448,K-뉴딜지수(2차전지),LG화학,051910
449,K-뉴딜지수(2차전지),후성,093370
450,K-뉴딜지수(2차전지),삼성SDI,006400
451,K-뉴딜지수(2차전지),솔루스첨단소재,336370
452,K-뉴딜지수(2차전지),SK이노베이션,096770
453,K-뉴딜지수(2차전지),SK아이이테크놀로지,361610
454,K-뉴딜지수(2차전지),롯데에너지머티리얼즈,020150
455,K-뉴딜지수(2차전지),솔브레인,357780
456,폐배터리,에코프로,086520
457,폐배터리,디에이테크놀로지,196490
458,폐배터리,하나기술,299030
459,폐배터리,파워로직스,047310
460,폐배터리,케이피에스,256940
461,폐배터리,코스모화학,005420
462,폐배터리,LG에너지솔루션,373220
463,폐배터리,현대차,005380
464,폐배터리,원익피앤이,217820
465,폐배터리,성일하이텍,365340
466,폐배터리,새빗켐,107600
467,폐배터리,POSCO홀딩스,005490
468,폐배터리,이지트로닉스,377330
469,폐배터리,NPC,004250
